Name,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two,Year,Round,Home Team,Away Team
Sam Walker,7,Halfback,80:00,24,1,10,10,-,100%,-,-,90,4,17,-,1,-,1,2,-,1,-,-,6.88s,-,-,-,2,3,34,53,8.5,85.71%,18,1,2,-,-,16,370,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Dragons,Roosters
Jared Waerea-Hargreaves,8,Prop,46:00,-,-,-,-,-,-,-,-,38,15,167,80,46,-,-,-,-,2,9,-,3.89s,-,-,-,-,1,1,16,0.07,100%,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,24:32,21:01,2024,8,Dragons,Roosters
Brandon Smith,9,Hooker,53:00,-,-,-,-,-,-,-,-,24,5,67,-,26,-,-,-,-,1,-,-,2.79s,5,67,-,-,-,44,50,8.8,86.67%,26,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,52:35,-,2024,8,Dragons,Roosters
Lindsay Collins,10,Prop,57:00,-,-,-,-,-,-,-,-,44,11,92,11,34,-,-,-,-,2,10,-,3.27s,-,-,-,2,-,-,12,-,96.43%,27,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,28:20,28:31,2024,8,Dragons,Roosters
Angus Crichton,11,2nd Row,80:00,4,1,-,-,-,-,-,-,86,14,116,-,40,1,-,1,-,6,14,-,2.14s,-,-,-,5,1,4,17,0.29,87.5%,35,2,3,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,1,-,-,-,80:00,-,2024,8,Dragons,Roosters
Nat Butcher,12,2nd Row,80:00,8,2,-,-,-,-,-,-,73,11,127,9,29,2,-,-,-,4,8,-,3.26s,1,13,-,-,-,3,14,0.27,90%,36,2,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,80:00,-,2024,8,Dragons,Roosters
Connor Watson,14,Lock,80:00,-,-,-,-,-,-,-,-,75,13,133,-,42,-,1,-,-,4,11,-,3.28s,2,29,-,2,1,45,58,3.46,92.73%,51,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,80:00,-,2024,8,Dragons,Roosters
Naufahu Whyte,15,Interchange,31:00,-,-,-,-,-,-,-,-,32,8,116,78,50,-,-,-,-,3,4,-,3.73s,-,-,-,1,-,1,9,0.13,83.33%,15,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30:39,-,2024,8,Dragons,Roosters
Egan Butcher,16,Interchange,42:00,-,-,-,-,-,-,-,-,19,3,32,-,8,-,1,1,-,-,2,-,3.04s,1,10,-,-,-,2,6,0.67,90.91%,10,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,42:00,-,2024,8,Dragons,Roosters
Terrell May,17,Interchange,26:00,-,-,-,-,-,-,-,-,16,8,64,13,27,-,-,-,-,2,7,-,2.93s,-,-,-,-,1,1,9,0.13,78.57%,11,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,26:57,-,2024,8,Dragons,Roosters
Michael Jennings,18,Centre,38:00,-,-,-,-,-,-,-,-,31,6,49,-,24,-,-,1,-,5,-,-,2.9s,-,-,-,1,-,-,6,-,88.89%,8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38:12,-,2024,8,Dragons,Roosters
Siua Wong,19,Interchange,27:00,-,-,-,-,-,-,-,-,19,3,30,-,11,-,-,-,-,-,3,-,2.5s,-,-,-,-,-,-,3,-,94.74%,18,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,27:00,-,2024,8,Dragons,Roosters
Fetalaiga Pauga,22,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,8,Dragons,Roosters
Ryan Papenhuyzen,1,Fullback,80:00,8,2,-,-,-,-,-,-,57,16,108,23,11,2,-,-,-,2,-,-,4.74s,3,27,-,1,4,24,35,1.5,100%,4,-,-,-,4,1,20,-,-,-,-,-,1,1,2,1,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Will Warbrick,2,Winger,80:00,4,1,-,-,-,-,-,-,32,15,152,21,44,-,-,-,-,1,-,-,3.42s,-,-,-,-,-,-,16,-,100%,6,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Reimis Smith,3,Centre,80:00,-,-,-,-,-,-,-,-,19,12,81,4,33,-,-,-,-,2,-,-,3.28s,-,-,-,-,2,1,10,0.08,81.82%,9,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Nick Meaney,4,Centre,80:00,14,-,7,10,-,70%,-,-,41,11,111,8,32,2,-,1,-,2,-,-,3.59s,-,-,-,-,-,7,16,0.64,64.71%,11,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Xavier Coates,5,Winger,34:00,12,3,-,-,-,-,-,-,33,6,54,12,4,1,-,-,-,1,-,-,3.27s,-,-,-,-,1,-,6,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33:42,-,2024,8,Storm,Rabbitohs
Cameron Munster,6,Five-Eighth,80:00,4,1,-,-,-,-,-,-,91,14,127,3,40,1,2,4,-,9,-,-,3.64s,2,22,-,-,3,16,35,1.14,84.62%,22,2,2,-,2,6,187,-,-,-,-,-,-,-,2,2,-,-,1,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Jahrome Hughes,7,Halfback,80:00,-,-,-,-,-,-,-,-,59,12,78,-,7,-,3,2,-,1,-,-,3.44s,-,-,-,1,1,25,39,2.08,90%,18,1,1,-,-,9,234,1,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Nelson Asofa-Solomona,8,Interchange,27:00,-,-,-,-,-,-,-,-,30,8,92,-,42,-,-,-,-,6,8,-,2.92s,-,-,-,-,-,-,8,-,90%,9,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:27,04:47,2024,8,Storm,Rabbitohs
Harry Grant,9,Hooker,75:00,4,1,-,-,-,-,-,-,54,9,71,-,22,1,1,1,-,3,1,-,3.28s,8,66,-,1,2,90,98,10,81.08%,30,4,3,-,-,1,27,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,74:31,-,2024,8,Storm,Rabbitohs
Josh King,10,Prop,64:00,-,-,-,-,-,-,-,-,39,10,90,34,24,-,-,-,-,-,6,-,3.37s,-,-,-,1,-,6,16,0.6,91.18%,31,-,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,64:23,-,2024,8,Storm,Rabbitohs
Shawn Blore,11,2nd Row,72:00,-,-,-,-,-,-,-,-,48,9,82,-,29,-,-,-,-,-,9,-,3.51s,-,-,-,5,-,1,10,0.11,91.67%,22,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71:44,-,2024,8,Storm,Rabbitohs
Eliesa Katoa,12,2nd Row,80:00,-,-,-,-,-,-,-,-,56,15,158,9,65,1,1,-,-,4,12,-,4.01s,-,-,1,3,4,2,19,0.13,88%,22,1,2,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,1,-,1,-,-,80:00,-,2024,8,Storm,Rabbitohs
Trent Loiero,13,Lock,50:00,-,-,-,-,-,-,-,-,41,9,80,-,33,-,-,-,-,3,9,-,3.72s,-,-,-,1,-,4,13,0.44,93.33%,28,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,28:39,21:27,2024,8,Storm,Rabbitohs
Tyran Wishart,14,Interchange,46:00,4,1,-,-,-,-,-,-,32,7,58,-,27,1,-,-,-,2,1,-,3.71s,-,-,-,2,-,9,16,1.29,80%,4,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46:00,-,2024,8,Storm,Rabbitohs
Christian Welch,15,Prop,40:00,-,-,-,-,-,-,-,-,37,10,88,19,32,-,-,-,-,3,6,-,3.13s,-,-,-,1,1,4,12,0.4,90.48%,19,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23:49,15:37,2024,8,Storm,Rabbitohs
Joe Chan,16,Interchange,29:00,4,1,-,-,-,-,-,-,35,6,42,-,19,-,-,-,-,2,6,-,3.74s,-,-,-,-,-,-,6,-,88.89%,16,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,29:00,-,2024,8,Storm,Rabbitohs
Alec MacDonald,17,Interchange,40:00,-,-,-,-,-,-,-,-,37,8,82,-,40,-,-,-,-,1,8,-,3.23s,-,-,-,1,-,-,8,-,90%,18,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34:44,05:29,2024,8,Storm,Rabbitohs
Jack Howarth,18,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,8,Storm,Rabbitohs
Jye Gray,1,Fullback,80:00,-,-,-,-,-,-,-,-,33,15,196,32,53,-,-,-,-,2,-,-,3.94s,-,-,-,-,-,3,21,0.2,70%,7,-,3,-,3,1,20,1,-,1,-,-,-,-,2,2,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Jacob Gagai,2,Winger,80:00,8,2,-,-,-,-,-,-,37,11,105,10,27,2,-,-,-,-,-,-,4.27s,-,-,-,-,-,4,15,0.36,60%,3,1,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Jack Wighton,3,Centre,80:00,-,-,-,-,-,-,-,-,26,13,135,-,53,1,-,-,-,5,1,-,3.38s,-,-,-,-,1,13,24,1,65%,13,4,3,-,-,1,18,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Isaiah Tass,4,Centre,80:00,-,-,-,-,-,-,-,-,33,11,66,3,27,-,1,2,-,-,-,-,4.18s,-,-,-,1,-,4,14,0.36,81.25%,13,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Taane Milne,5,Winger,80:00,4,1,-,-,-,-,-,-,39,15,99,15,26,1,-,-,-,2,1,-,3.33s,1,6,-,5,-,2,17,0.13,71.43%,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,80:00,-,2024,8,Storm,Rabbitohs
Cody Walker,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,41,13,69,-,3,1,2,2,-,3,-,-,5.86s,1,4,-,-,1,37,44,2.85,72.22%,13,3,2,-,-,5,141,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Dean Hawkins,7,Halfback,80:00,4,-,2,4,-,50%,-,-,24,4,17,-,2,-,-,1,-,-,-,-,4.64s,-,-,-,-,-,26,36,6.5,68.18%,15,4,3,-,-,8,206,1,4,-,-,-,1,-,-,-,-,-,-,1,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Damien Cook,9,Hooker,47:00,-,-,-,-,-,-,-,-,25,6,41,-,17,-,-,-,-,1,2,-,4.55s,3,27,-,-,-,55,60,9.17,78.13%,25,4,3,-,-,1,4,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,33:43,13:25,2024,8,Storm,Rabbitohs
Thomas Burgess,10,Prop,35:00,-,-,-,-,-,-,-,-,16,9,77,-,37,-,-,-,-,-,9,-,3.73s,-,-,-,-,-,-,9,-,76%,19,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:58,13:25,2024,8,Storm,Rabbitohs
Keaon Koloamatangi,11,Prop,73:00,-,-,-,-,-,-,-,-,33,16,136,31,55,-,-,-,-,1,13,-,3.39s,1,1,-,1,-,1,17,0.06,78.13%,25,4,3,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,73:27,-,2024,8,Storm,Rabbitohs
Jacob Host,12,2nd Row,80:00,-,-,-,-,-,-,-,-,31,10,78,-,39,-,-,-,-,1,10,-,2.97s,-,-,-,-,-,-,10,-,86.67%,26,2,2,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Cameron Murray,13,Lock,62:00,4,1,-,-,-,-,-,-,70,19,123,-,14,-,-,-,-,1,9,-,4.64s,-,-,-,4,1,24,35,1.26,88.89%,40,2,3,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,31:00,31:10,2024,8,Storm,Rabbitohs
Peter Mamouzelos,14,Interchange,35:00,-,-,-,-,-,-,-,-,9,1,12,-,4,-,1,-,-,-,-,-,5.04s,1,12,-,-,-,40,41,40,82.61%,19,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,34:28,-,2024,8,Storm,Rabbitohs
Siliva Havili,15,Interchange,24:00,-,-,-,-,-,-,-,-,25,6,49,-,16,-,-,-,-,-,6,-,4.48s,-,-,-,1,-,1,7,0.17,87.5%,21,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,17:50,06:33,2024,8,Storm,Rabbitohs
Davvy Moale,16,Interchange,18:00,-,-,-,-,-,-,-,-,11,7,52,8,20,-,-,-,-,-,6,-,3.79s,-,-,-,-,-,-,7,-,85.71%,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17:45,-,2024,8,Storm,Rabbitohs
Jai Arrow,17,Interchange,27:00,-,-,-,-,-,-,-,-,24,5,49,17,16,-,-,-,-,-,4,-,4.17s,-,-,-,1,-,1,6,0.2,86.96%,20,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26:52,-,2024,8,Storm,Rabbitohs
Michael Chee Kam,18,2nd Row,80:00,-,-,-,-,-,-,-,-,37,11,82,-,36,-,-,-,-,1,11,-,3.24s,-,-,-,-,-,1,12,0.09,84.62%,33,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Storm,Rabbitohs
Tallis Duncan,20,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,8,Storm,Rabbitohs
Tom Trbojevic,1,Fullback,80:00,4,1,-,-,-,-,-,-,27,15,156,33,37,1,2,-,-,-,1,-,3.39s,-,-,-,-,-,21,35,1.4,50%,2,2,-,-,2,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Jason Saab,2,Winger,80:00,-,-,-,-,-,-,-,-,33,14,184,12,48,3,-,1,-,2,-,-,3.82s,-,-,-,-,-,4,18,0.29,44.44%,4,3,2,-,-,1,24,-,-,1,-,-,-,-,2,1,-,-,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Tolutau Koula,3,Centre,80:00,-,-,-,-,-,-,-,-,36,11,109,-,49,1,1,-,-,2,1,-,3.87s,-,-,-,3,-,3,11,0.27,73.33%,11,4,-,-,1,1,7,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Reuben Garrick,4,Centre,80:00,20,2,5,5,1,100%,-,-,83,16,157,-,50,2,-,-,-,4,1,-,3.58s,-,-,-,2,-,4,19,0.25,83.33%,20,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Tommy Talau,5,Winger,80:00,4,1,-,-,-,-,-,-,27,15,104,22,23,1,-,-,-,2,1,-,3.41s,1,1,1,-,-,3,20,0.2,55.56%,5,3,1,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Luke Brooks,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,27,11,68,-,16,-,-,1,-,-,-,-,3.69s,-,-,-,1,1,32,44,2.91,75.86%,22,4,3,-,-,5,140,-,1,1,-,-,1,-,2,2,-,1,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Daly Cherry-Evans,7,Halfback,80:00,4,1,-,-,-,-,-,-,49,11,89,-,6,-,3,1,-,4,-,-,3.93s,1,15,-,-,2,51,65,4.64,92.31%,12,1,-,-,1,9,240,-,1,2,-,-,-,-,1,1,-,1,1,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Taniela Paseka,8,Prop,50:00,-,-,-,-,-,-,-,-,33,15,148,-,73,-,-,-,-,3,15,-,3.42s,-,-,-,-,-,-,15,-,79.17%,19,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22:12,28:03,2024,8,Sea Eagles,Eels
Lachlan Croker,9,Hooker,57:00,-,-,-,-,-,-,-,-,33,1,3,-,1,-,-,-,-,-,-,-,3.24s,1,3,-,-,-,68,72,68,87.18%,34,3,2,-,-,2,101,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,57:21,-,2024,8,Sea Eagles,Eels
Josh Aloiai,10,Prop,39:00,-,-,-,-,-,-,-,-,17,14,119,23,45,-,-,-,-,1,12,-,3.25s,-,-,-,-,-,-,14,-,66.67%,10,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,20:59,18:16,2024,8,Sea Eagles,Eels
Haumole Olakau'atu,11,2nd Row,70:00,-,-,-,-,-,-,-,-,49,16,147,-,72,-,1,1,-,5,15,-,3.65s,-,-,-,1,-,4,18,0.25,92.31%,24,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,70:00,-,2024,8,Sea Eagles,Eels
Corey Waddell,12,2nd Row,80:00,-,-,-,-,-,-,-,-,39,9,51,-,12,-,-,-,-,2,9,-,3.41s,-,-,-,-,-,1,11,0.11,92.31%,36,2,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Jake Trbojevic,13,Lock,80:00,-,-,-,-,-,-,-,-,41,9,76,15,15,1,-,1,-,-,5,-,3.28s,-,-,-,-,-,23,30,2.56,82.5%,33,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Karl Lawton,14,Interchange,23:00,-,-,-,-,-,-,-,-,8,2,13,-,5,-,-,-,-,1,-,-,3s,2,13,-,-,-,27,28,13.5,77.78%,7,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23:00,-,2024,8,Sea Eagles,Eels
Ethan Bullemor,15,Interchange,12:00,-,-,-,-,-,-,-,-,16,5,49,14,16,-,-,-,-,-,4,-,2.8s,-,-,-,1,-,-,5,-,88.89%,8,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12:27,-,2024,8,Sea Eagles,Eels
Matthew Lodge,16,Interchange,27:00,-,-,-,-,-,-,-,-,19,7,50,-,17,-,-,-,-,-,7,-,3.12s,-,-,-,1,-,1,8,0.14,82.35%,14,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27:05,-,2024,8,Sea Eagles,Eels
Nathan Brown,17,Interchange,31:00,-,-,-,-,-,-,-,-,21,7,60,10,15,-,1,-,-,4,4,-,3.94s,-,-,-,-,1,9,14,1.29,75%,9,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30:58,-,2024,8,Sea Eagles,Eels
Aaron Woods,18,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,8,Sea Eagles,Eels
Clinton Gutherson,1,Fullback,80:00,2,-,-,3,1,25%,-,-,51,18,139,52,33,-,3,2,-,1,-,-,3.89s,3,28,-,4,-,19,37,1.06,100%,5,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Maika Sivo,2,Winger,70:00,12,3,-,-,-,-,-,-,53,9,88,11,8,3,-,-,-,7,2,-,2.79s,-,-,-,-,-,-,10,-,75%,3,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,70:00,-,2024,8,Sea Eagles,Eels
Will Penisini,3,Centre,70:00,-,-,-,-,-,-,-,-,32,8,64,-,23,1,1,1,-,4,-,-,3.43s,1,8,-,1,-,2,8,0.25,76.92%,10,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,70:00,-,2024,8,Sea Eagles,Eels
Morgan Harper,4,Centre,80:00,-,-,-,-,-,-,-,-,47,14,114,-,42,-,-,-,-,2,-,-,3.39s,-,-,-,2,-,4,17,0.29,81.48%,22,4,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Bailey Simonsson,5,Winger,80:00,4,1,-,-,-,-,-,-,49,13,143,6,36,1,-,-,-,4,-,-,3.36s,-,-,-,-,-,1,16,0.08,72.73%,8,2,1,-,1,1,29,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Ethan Sanders,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,35,6,48,-,8,-,-,-,-,4,-,-,3.28s,-,-,-,-,2,27,35,4.5,80%,32,6,2,-,-,6,145,-,3,1,-,-,1,-,-,-,-,-,1,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Dylan Brown,7,Halfback,80:00,-,-,-,1,-,-,-,-,57,14,153,-,44,1,-,-,-,7,-,-,3.34s,1,18,-,2,-,22,40,1.57,85%,17,2,1,-,-,7,261,-,1,-,-,-,-,-,1,1,-,1,1,-,-,-,-,80:00,-,2024,8,Sea Eagles,Eels
Reagan Campbell-Gillard,8,Prop,52:00,-,-,-,-,-,-,-,-,29,10,73,-,25,-,-,-,-,-,10,-,3.24s,-,-,-,1,1,-,11,-,85.71%,24,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30:23,21:14,2024,8,Sea Eagles,Eels
Joey Lussick,9,Hooker,53:00,-,-,-,-,-,-,-,-,27,1,9,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,75,76,75,93.75%,30,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,52:30,-,2024,8,Sea Eagles,Eels
Junior Paulo,10,Interchange,54:00,-,-,-,-,-,-,-,-,37,11,96,9,30,-,1,1,-,2,9,-,3.37s,-,-,-,1,-,5,15,0.45,79.17%,19,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,39:41,13:55,2024,8,Sea Eagles,Eels
Shaun Lane,11,2nd Row,55:00,-,-,-,-,-,-,-,-,21,10,81,-,34,-,-,-,-,-,10,-,3.16s,-,-,-,-,1,-,12,-,95.45%,21,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,-,-,-,-,-,04:14,51:01,2024,8,Sea Eagles,Eels
Ryan Matterson,12,2nd Row,80:00,-,-,-,-,-,-,-,-,58,12,97,-,43,-,-,-,-,1,12,-,3.58s,-,-,-,1,-,2,14,0.17,100%,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,80:00,-,2024,8,Sea Eagles,Eels
J'maine Hopgood,13,Lock,73:00,-,-,-,-,-,-,-,-,59,17,140,-,50,-,-,-,-,1,14,-,3.21s,-,-,-,3,4,20,35,1.18,95.56%,43,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,-,66:05,07:22,2024,8,Sea Eagles,Eels
Brendan Hands,14,Interchange,27:00,-,-,-,-,-,-,-,-,11,3,33,-,9,-,-,-,-,-,-,-,3.57s,3,33,-,-,-,35,38,11.67,83.33%,15,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,27:00,-,2024,8,Sea Eagles,Eels
Makahesi Makatoa,15,Interchange,20:00,-,-,-,-,-,-,-,-,19,5,49,27,10,-,-,-,-,2,3,-,3.56s,-,-,-,-,-,1,6,0.2,100%,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:01,-,2024,8,Sea Eagles,Eels
Joe Ofahengaue,16,Prop,40:00,-,-,-,-,-,-,-,-,34,9,78,30,17,-,-,-,-,3,6,-,2.9s,-,-,-,-,-,1,10,0.11,88.46%,23,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,21:14,19:05,2024,8,Sea Eagles,Eels
Kelma Tuilagi,17,Interchange,25:00,-,-,-,-,-,-,-,-,16,5,49,-,20,-,-,-,-,1,5,-,3.36s,-,-,-,1,-,-,6,-,88.89%,8,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,24:45,-,2024,8,Sea Eagles,Eels
Sean Russell,18,Replacement,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024,8,Sea Eagles,Eels
Jahream Bula,1,Fullback,80:00,-,-,-,-,-,-,-,-,37,13,117,20,34,-,1,-,-,3,-,-,3.86s,1,12,-,2,-,20,33,1.54,87.5%,7,-,1,-,1,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,80:00,-,2024,8,Wests Tigers,Broncos
Charlie Staines,2,Winger,80:00,8,2,-,-,-,-,-,-,47,17,166,31,42,1,-,-,-,6,-,-,3.45s,-,-,-,1,-,5,26,0.29,33.33%,1,2,-,-,2,1,16,-,-,1,-,-,-,-,2,1,-,-,-,-,-,-,-,80:00,-,2024,8,Wests Tigers,Broncos
