Name,Number,Position,Mins Played,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,1 Point Field Goals,2 Point Field Goals,Total Points,All Runs,All Run Metres,Kick Return Metres,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,20/40,Cross Field Kicks,Kicked Dead,Errors,Handling Errors,One on One Lost,Penalties,Ruck Infringements,Inside 10 Metres,On Report,Sin Bins,Send Offs,Stint One,Stint Two,Year,Round,Home Team,Away Team
Jesse Ramien,3,Centre,80:00,-,-,-,-,-,-,-,-,28,13,139,-,46,-,1,-,-,1,-,-,2.85s,1,16,-,2,-,5,15,0.38,91.67%,11,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,1,-,-,80:00,-,2024,15,Sharks,Dolphins
Kayal Iro,4,Centre,80:00,-,-,-,-,-,-,-,-,50,22,193,-,76,-,1,1,-,3,-,-,3.73s,1,9,-,1,-,3,23,0.14,88.89%,16,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Ronaldo Mulitalo,5,Winger,80:00,4,1,-,-,-,-,-,-,44,17,140,20,39,1,-,-,-,3,-,-,2.75s,-,-,-,2,-,2,19,0.12,80%,4,1,-,-,4,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Braydon Trindall,6,Five-Eighth,80:00,-,-,-,-,-,-,-,-,31,8,36,-,2,-,1,-,-,1,-,-,3.68s,-,-,-,-,5,32,43,4,88.24%,15,2,-,-,1,7,313,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Nicholas Hynes,7,Halfback,80:00,8,-,4,5,-,80%,-,-,57,15,100,-,9,-,1,1,-,1,1,-,3.08s,-,-,-,-,7,44,58,2.93,90.63%,29,2,1,-,-,9,342,-,2,-,-,-,-,-,1,1,-,2,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Toby Rudolf,8,Prop,38:00,-,-,-,-,-,-,-,-,41,7,68,-,29,-,-,-,-,-,7,-,2.52s,-,-,-,1,-,-,7,-,89.19%,33,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25:40,12:15,2024,15,Sharks,Dolphins
Blayke Brailey,9,Hooker,80:00,-,-,-,-,-,-,-,-,54,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,6,101,102,-,92.98%,53,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Oregon Kaufusi,10,Prop,38:00,-,-,-,-,-,-,-,-,27,4,33,8,12,-,-,-,-,-,3,-,2.09s,-,-,-,-,-,-,4,-,87.5%,28,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,25:41,12:19,2024,15,Sharks,Dolphins
Briton Nikora,11,2nd Row,80:00,4,1,-,-,-,-,-,-,73,9,127,-,12,3,-,2,-,1,6,-,2.77s,-,-,-,-,4,4,11,0.44,85.42%,41,5,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
Siosifa Talakai,12,2nd Row,80:00,-,-,-,-,-,-,-,-,17,7,92,-,49,-,-,-,-,1,7,-,2.65s,-,-,-,-,-,1,9,0.14,76.92%,20,6,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,80:00,-,2024,15,Sharks,Dolphins
